Artist,Track,URL,MP3_Path,Debut,Max,Mean,Std,Length,Sum,Skewness,Kurtosis
IZ*ONE,FIESTA,https://open.spotify.com/track/6Ihdn6wW2UBhfTKWbP29KA,./downloaded_mp3/IZ*ONE_FIESTA.mp3,95,95,63.71,24.06,7,446,-0.23,-1.5
あいみょん,さよならの今日に,https://open.spotify.com/track/1BMFlDfS1ZLTKhqBGkM6zb,./downloaded_mp3/あいみょん_さよならの今日に.mp3,86,86,46.38,29.6,13,603,-0.18,-1.63
Uru,あなたがいることで,https://open.spotify.com/track/2AVbKUuvvzbPK6NIZZZvcY,./downloaded_mp3/Uru_あなたがいることで.mp3,82,95,57.08,30.02,38,2169,-0.32,-1.46
JO1,無限大,https://open.spotify.com/track/0A2fH8X38ltV5LBlgMJnWg,./downloaded_mp3/JO1_無限大.mp3,79,100,59.0,23.25,16,944,0.07,-1.17
BTS,ON,https://open.spotify.com/track/0fZRNhPJ4AGmwY7rkpdbqK,./downloaded_mp3/BTS_ON.mp3,75,93,37.71,26.83,24,905,0.39,-1.16
JO1,Running,https://open.spotify.com/track/1vkiuln6Juhyo9IZMPgmky,./downloaded_mp3/JO1_Running.mp3,63,64,37.1,23.45,10,371,-0.13,-1.75
JO1,La Pa Pa Pam,https://open.spotify.com/track/6CtBESIafdMzYsXwPnBo1h,./downloaded_mp3/JO1_La Pa Pa Pam.mp3,59,61,33.22,22.3,9,299,0.13,-1.86
家入レオ,未完成,https://open.spotify.com/track/2SHmn1lF0VgWkdeqKY02Zt,./downloaded_mp3/家入レオ_未完成.mp3,56,87,54.57,23.24,30,1637,-0.34,-1.18
JUJU,STAYIN' ALIVE,https://open.spotify.com/track/0pssxomTEt8NShX9dNPzpp,./downloaded_mp3/JUJU_STAYIN' ALIVE.mp3,48,73,45.92,25.94,13,597,-0.66,-1.18
Snow Man,KISSIN' MY LIPS,https://open.spotify.com/track/57FoZDQ4sHYerHFdHJxDAb,./downloaded_mp3/Snow Man_KISSIN' MY LIPS.mp3,20,100,34.83,28.82,24,836,0.86,-0.36
A.B.C-Z,チートタイム,https://open.spotify.com/track/6wjewSOiTDncQyFMJAAqkf,./downloaded_mp3/A.B.C-Z_チートタイム.mp3,14,95,46.67,42.71,3,140,0.32,-2.33
Eve,心予報,https://open.spotify.com/track/5zs4EN2bPqsDLk0YtPwus3,./downloaded_mp3/Eve_心予報.mp3,11,69,49.5,26.3,4,198,-0.65,-1.76
sumika,センス・オブ・ワンダー,https://open.spotify.com/track/6kx6GDwi4aai3JY9xNeFAy,./downloaded_mp3/sumika_センス・オブ・ワンダー.mp3,3,82,31.4,33.27,5,157,0.51,-1.75
flumpool,素晴らしき嘘,https://open.spotify.com/track/1NTSKO34UlaGaiHVAd9pEY,./downloaded_mp3/flumpool_素晴らしき嘘.mp3,2,65,24.6,26.14,5,123,0.52,-1.66
aiko,青空,https://open.spotify.com/track/10oI3g6tvqOu73Z1LY044G,./downloaded_mp3/aiko_青空.mp3,13,95,51.0,32.37,5,255,0.15,-1.88
KANA-BOON,スターマーカー,https://open.spotify.com/track/0pQm5AbAaVy9XrOLf7rgSF,./downloaded_mp3/KANA-BOON_スターマーカー.mp3,42,55,42.67,12.01,3,128,0.06,-2.33
NEWS,STORY,https://open.spotify.com/track/4BEKWwxrcFuI4xIOram1Jv,./downloaded_mp3/NEWS_STORY.mp3,7,49,19.25,20.4,4,77,0.63,-1.78
μ's,A song for You! You? You!!,https://open.spotify.com/track/1TLDe7LHaRGh3nxPl1cKHG,./downloaded_mp3/μ's_A song for You! You? You!!.mp3,20,94,41.0,46.23,3,123,0.36,-2.33
マカロニえんぴつ,恋人ごっこ,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO,./downloaded_mp3/マカロニえんぴつ_恋人ごっこ.mp3,4,49,16.1,11.52,72,1159,0.88,0.08
東京事変,永遠の不在証明,https://open.spotify.com/track/7FL5iSLdKcersBgDiwijis,./downloaded_mp3/東京事変_永遠の不在証明.mp3,80,80,46.78,22.38,9,421,-0.41,-0.9
Mr.Children,Birthday,https://open.spotify.com/track/0arzkZjLAK8lPIjYILGL17,./downloaded_mp3/Mr.Children_Birthday.mp3,98,98,72.57,20.19,7,508,-0.35,-1.3
