Artist,Track,URL,Debut,Max,Mean,Std,Length,Sum,Skewness,Kurtosis
星野源,Pop Virus,https://open.spotify.com/track/4hQ5tBCwPRkzhFB424U63U,75,93,65.58,21.16,12,787,-0.67,-0.58
ビッケブランカ,まっしろ,https://open.spotify.com/track/2PwOOgg8PavBNIWsPLIkr3,74,86,54.64,25.28,11,601,-0.41,-1.42
三浦大知,Blizzard,https://open.spotify.com/track/7b740cSOAeaW9SWiD1G823,72,99,64.32,29.27,25,1608,-0.77,-0.77
平井堅,half of me,https://open.spotify.com/track/343I1snlcORf98FuxeiLaO,71,84,50.5,20.04,12,606,0.01,-1.01
あいみょん,君はロックを聴かない,https://open.spotify.com/track/01IZAuQsBO00iLKFO9LsFf,70,90,52.53,24.55,144,7565,-0.35,-0.8
DAOKO × 米津玄師,打上花火,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ,69,100,59.17,31.78,163,9644,-0.55,-1.17
米津玄師,LOSER,https://open.spotify.com/track/7AqUE5AY514dbzeOAfJRa0,68,98,49.6,26.78,128,6349,-0.16,-1.03
SawanoHiroyuki[nZk]:LiSA,narrative,https://open.spotify.com/track/1v4W1B2Qq29MTVXZA26Jhj,66,87,63.0,25.63,3,189,-0.12,-2.33
BTS (防弾少年団),FAKE LOVE,https://open.spotify.com/track/6m1TWFMeon7ai9XLOzdbiR,65,100,56.08,26.29,48,2692,-0.34,-0.84
あいみょん,愛を伝えたいだとか,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO,62,86,42.92,25.19,97,4163,0.05,-1.31
BoA,メリクリ,https://open.spotify.com/track/3fxaN9pj6g4crVCzMTqRd0,61,80,46.51,21.71,43,2000,-0.41,-1.12
SEKAI NO OWARI,イルミネーション,https://open.spotify.com/track/24BhYE4GTnDoVnzmNJVwEe,59,94,57.0,19.4,12,684,0.44,-0.94
KinKi Kids,会いたい、会いたい、会えない。,https://open.spotify.com/track/5KRjkjwSQjVPU09Xp5JAlg,58,100,45.22,32.03,9,407,0.38,-1.41
BTS (防弾少年団),IDOL,https://open.spotify.com/track/1e8J3XClxZbFmvIHLI8CE4,57,90,52.78,23.2,32,1689,-0.31,-1.03
米津玄師,アイネクライネ,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB,49,82,38.63,20.6,134,5177,-0.0,-0.88
THE CHARM PARK,Imperfection,https://open.spotify.com/track/1MUdFtTZIxzL9MSbgdvbLn,42,42,30.25,10.01,4,121,-0.05,-1.96
HY,366日,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc,41,80,26.16,19.37,56,1465,1.18,0.95
DA PUMP,if...,https://open.spotify.com/track/78LQTUp1f8APWgFNZNOD5y,40,60,32.07,17.07,14,449,-0.25,-1.24
BLACKPINK,DDU-DU DDU-DU,https://open.spotify.com/track/1PMXpTPJfh3ViK8PMZ9ZnY,39,94,53.83,23.2,36,1938,0.04,-1.23
東方神起,Jealous,https://open.spotify.com/track/5dy0nfzVWeUVAsgrCdjtYN,38,98,36.11,29.28,9,325,0.89,-0.4
NMB48,僕だって泣いちゃうよ,https://open.spotify.com/track/3Av81zmIVL3orQivy2mxcV,37,100,46.86,27.22,14,656,0.51,-1.09
ジェジュン,Defiance,https://open.spotify.com/track/43yTZvkuxh1uoiY7AlywXp,35,98,37.58,29.86,12,451,0.73,-0.74
星野源,アイデア,https://open.spotify.com/track/7jgqNMnqAT9FghC1uSYTFF,34,100,64.88,27.74,26,1687,-0.29,-1.36
Nissy(西島隆弘),トリコ,https://open.spotify.com/track/04vWAqnvToa2v4D4A2yhzH,33,92,49.41,27.51,32,1581,-0.09,-1.22
BUMP OF CHICKEN,話がしたいよ,https://open.spotify.com/track/7g42Z31aPLq6GArDAWAjKI,32,99,58.3,32.73,10,583,-0.1,-1.72
[ALEXANDROS],アルペジオ,https://open.spotify.com/track/1RI9DeYuc16mTzr94zGjfC,31,84,35.33,31.66,6,212,0.42,-1.72
Official髭男dism,Stand By You,https://open.spotify.com/track/5D8UugGdM9n9hMsiminaZN,30,91,45.97,22.83,73,3356,-0.33,-0.96
スキマスイッチ,奏(かなで),https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG,28,74,20.57,14.48,185,3806,0.97,1.07
菅田将暉,さよならエレジー,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI,27,98,52.02,24.98,143,7439,-0.23,-0.75
OxT,UNION,https://open.spotify.com/track/2Op7ZaXB0Kt5zDhetTL0ZQ,25,95,50.0,30.54,7,350,0.22,-1.72
みきとP,ロキ,https://open.spotify.com/track/6rNcfp4dn7ZNPVUH6rZ7Lq,24,56,30.81,15.59,43,1325,-0.12,-1.27
そらる,銀の祈誓,https://open.spotify.com/track/1iFbEggS4cNnkE2kcSPrvC,22,97,48.33,42.19,3,145,0.38,-2.33
サカナクション,新宝島,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1,21,100,35.02,27.67,131,4588,0.88,-0.38
NEWS,「生きろ」,https://open.spotify.com/track/0vEtQZ9Fux7nMuIKw95b2q,20,100,47.72,25.44,18,859,0.17,-0.82
DREAMS COME TRUE,あなたとトゥラッタッタ♪,https://open.spotify.com/track/25HLzK7LscR8bGjZpcJC6n,17,89,37.38,31.03,8,299,0.76,-1.37
椎名林檎と宮本浩次,獣ゆく細道,https://open.spotify.com/track/1b8tkaZy5pnsrKj5ettPPf,15,95,65.08,27.73,13,846,-0.95,-0.34
欅坂46,サイレントマジョリティー,https://open.spotify.com/track/6vqGGV7ZGWYFRg5EtlcuN5,13,100,55.03,25.21,149,8200,-0.32,-0.91
